Vivado Simulator 2020.2
Time resolution is 1 ps
           450.000ns : [gen] a = 00000000, b = b948a228, mode = 1, sum = xxxxxxxx,carry = x
           450.000ns : [drv] a = 00000000, b = b948a228, mode = 1, sum = xxxxxxxx,carry = x
           460.000ns : [mon] a = 00000000, b = b948a228, mode = 1, sum = 46b75dd8,carry = 1
           460.000ns : [scb] a = 00000000, b = b948a228, mode = 1, sum = 46b75dd8,carry = 1
[Pass] : a =          0, b = 3108545064, mode = 1, sum = 1186422232,carry = 1
           460.000ns : [gen] a = 0000003f, b = ab209372, mode = 0, sum = xxxxxxxx,carry = x
           460.000ns : [drv] a = 0000003f, b = ab209372, mode = 0, sum = xxxxxxxx,carry = x
           470.000ns : [mon] a = 0000003f, b = ab209372, mode = 0, sum = ab2093b1,carry = 0
           470.000ns : [scb] a = 0000003f, b = ab209372, mode = 0, sum = ab2093b1,carry = 0
[Pass] : a =         63, b = 2871038834, mode = 0, sum = 2871038897,carry = 0
           470.000ns : [gen] a = 0000007f, b = d0d91054, mode = 1, sum = xxxxxxxx,carry = x
           470.000ns : [drv] a = 0000007f, b = d0d91054, mode = 1, sum = xxxxxxxx,carry = x
           480.000ns : [mon] a = 0000007f, b = d0d91054, mode = 1, sum = 2f26f02b,carry = 1
           480.000ns : [scb] a = 0000007f, b = d0d91054, mode = 1, sum = 2f26f02b,carry = 1
[Pass] : a =        127, b = 3503886420, mode = 1, sum =  791081003,carry = 1
           480.000ns : [gen] a = 0000ffff, b = e0dd29b8, mode = 0, sum = xxxxxxxx,carry = x
           480.000ns : [drv] a = 0000ffff, b = e0dd29b8, mode = 0, sum = xxxxxxxx,carry = x
           490.000ns : [mon] a = 0000ffff, b = e0dd29b8, mode = 0, sum = e0de29b7,carry = 0
           490.000ns : [scb] a = 0000ffff, b = e0dd29b8, mode = 0, sum = e0de29b7,carry = 0
[Pass] : a =      65535, b = 3772590520, mode = 0, sum = 3772656055,carry = 0
           490.000ns : [gen] a = 000000ff, b = fd18c72c, mode = 1, sum = xxxxxxxx,carry = x
           490.000ns : [drv] a = 000000ff, b = fd18c72c, mode = 1, sum = xxxxxxxx,carry = x
           500.000ns : [mon] a = 000000ff, b = fd18c72c, mode = 1, sum = 02e739d3,carry = 1
           500.000ns : [scb] a = 000000ff, b = fd18c72c, mode = 1, sum = 02e739d3,carry = 1
[Pass] : a =        255, b = 4246259500, mode = 1, sum =   48708051,carry = 1
           500.000ns : [gen] a = 000003ff, b = 126c5d1b, mode = 0, sum = xxxxxxxx,carry = x
           500.000ns : [drv] a = 000003ff, b = 126c5d1b, mode = 0, sum = xxxxxxxx,carry = x
           510.000ns : [mon] a = 000003ff, b = 126c5d1b, mode = 0, sum = 126c611a,carry = 0
           510.000ns : [scb] a = 000003ff, b = 126c5d1b, mode = 0, sum = 126c611a,carry = 0
[Pass] : a =       1023, b =  309091611, mode = 0, sum =  309092634,carry = 0
           510.000ns : [gen] a = 0000001f, b = 12efcb05, mode = 1, sum = xxxxxxxx,carry = x
           510.000ns : [drv] a = 0000001f, b = 12efcb05, mode = 1, sum = xxxxxxxx,carry = x
           520.000ns : [mon] a = 0000001f, b = 12efcb05, mode = 1, sum = ed10351a,carry = 1
           520.000ns : [scb] a = 0000001f, b = 12efcb05, mode = 1, sum = ed10351a,carry = 1
[Pass] : a =         31, b =  317704965, mode = 1, sum = 3977262362,carry = 1
           520.000ns : [gen] a = 0000001f, b = ff1827cb, mode = 1, sum = xxxxxxxx,carry = x
           520.000ns : [drv] a = 0000001f, b = ff1827cb, mode = 1, sum = xxxxxxxx,carry = x
           530.000ns : [mon] a = 0000001f, b = ff1827cb, mode = 1, sum = 00e7d854,carry = 1
           530.000ns : [scb] a = 0000001f, b = ff1827cb, mode = 1, sum = 00e7d854,carry = 1
[Pass] : a =         31, b = 4279773131, mode = 1, sum =   15194196,carry = 1
           530.000ns : [gen] a = 0000000f, b = d842a805, mode = 0, sum = xxxxxxxx,carry = x
           530.000ns : [drv] a = 0000000f, b = d842a805, mode = 0, sum = xxxxxxxx,carry = x
           540.000ns : [mon] a = 0000000f, b = d842a805, mode = 0, sum = d842a814,carry = 0
           540.000ns : [scb] a = 0000000f, b = d842a805, mode = 0, sum = d842a814,carry = 0
[Pass] : a =         15, b = 3628247045, mode = 0, sum = 3628247060,carry = 0
           540.000ns : [gen] a = 0000ffff, b = b6f5cda0, mode = 1, sum = xxxxxxxx,carry = x
           540.000ns : [drv] a = 0000ffff, b = b6f5cda0, mode = 1, sum = xxxxxxxx,carry = x
           550.000ns : [mon] a = 0000ffff, b = b6f5cda0, mode = 1, sum = 490b325f,carry = 1
           550.000ns : [scb] a = 0000ffff, b = b6f5cda0, mode = 1, sum = 490b325f,carry = 1
[Pass] : a =      65535, b = 3069562272, mode = 1, sum = 1225470559,carry = 1
           550.000ns : [gen] a = 0000001f, b = ddc96faf, mode = 0, sum = xxxxxxxx,carry = x
           550.000ns : [drv] a = 0000001f, b = ddc96faf, mode = 0, sum = xxxxxxxx,carry = x
           560.000ns : [mon] a = 0000001f, b = ddc96faf, mode = 0, sum = ddc96fce,carry = 0
           560.000ns : [scb] a = 0000001f, b = ddc96faf, mode = 0, sum = ddc96fce,carry = 0
[Pass] : a =         31, b = 3720966063, mode = 0, sum = 3720966094,carry = 0
           560.000ns : [gen] a = 0000001f, b = ed31cc48, mode = 0, sum = xxxxxxxx,carry = x
           560.000ns : [drv] a = 0000001f, b = ed31cc48, mode = 0, sum = xxxxxxxx,carry = x
           570.000ns : [mon] a = 0000001f, b = ed31cc48, mode = 0, sum = ed31cc67,carry = 0
           570.000ns : [scb] a = 0000001f, b = ed31cc48, mode = 0, sum = ed31cc67,carry = 0
